,GameId,OffenseTeam,DefenseTeam,Down,ToGo,SeriesFirstDown,TeamWin,PlayType,IsTwoPointConversion,IsTwoPointConversionSuccessful,PenaltyTeam,PenaltyType,PenaltyYards,Team,Games,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Two Point Conversions,Sacks,Rushing Attempts,Rushing Yards,Rushing Touchdowns,name,Receptions,Recieving TDs,Recieving yards,_links,Rushing yards,Rushing TDs,wins,losses,winRatePercentage
12458,2022101300.0,CHI,WAS,2.0,3.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12459,2022101300.0,CHI,WAS,1.0,3.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12460,2022101300.0,CHI,WAS,1.0,6.0,0.0,0.0,SCRAMBLE,0.0,0.0,WAS,DEFENSIVE TOO MANY MEN ON FIELD,3.0,,,,,,,,,,,,,,,,,,,,,,
12463,2022101300.0,CHI,WAS,2.0,5.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12464,2022101300.0,CHI,WAS,1.0,6.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12465,2022101300.0,CHI,WAS,2.0,5.0,1.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12466,2022101300.0,CHI,WAS,1.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12467,2022101300.0,CHI,WAS,4.0,1.0,1.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12468,2022101300.0,CHI,WAS,3.0,3.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12469,2022101300.0,CHI,WAS,2.0,5.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12470,2022101300.0,CHI,WAS,1.0,10.0,0.0,0.0,SCRAMBLE,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12471,2022101300.0,CHI,WAS,2.0,8.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12479,2022101000.0,KC,LV,4.0,3.0,0.0,0.0,PUNT,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12481,2022101000.0,KC,LV,3.0,3.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12483,2022101000.0,KC,LV,2.0,3.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12484,2022101000.0,LV,KC,0.0,0.0,1.0,0.0,TWO-POINT CONVERSION,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12485,2022101000.0,LV,KC,3.0,6.0,1.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12486,2022101000.0,KC,LV,3.0,14.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12487,2022101000.0,KC,LV,2.0,14.0,0.0,0.0,PASS,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12488,2022101000.0,KC,LV,1.0,10.0,0.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
12489,2022101000.0,KC,LV,2.0,3.0,1.0,0.0,RUSH,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
